инн,год,оценка,дата_регистрации,статус,нематериальные_активы,результаты_исследований_и_разработок,нематериальные_поисковые_активы,материальные_поисковые_активы,основные_средства,доходные_вложения_в_материальные_ценности,финансовые_вложения,отложенные_налоговые_активы,прочие_внеоборотные_активы,итого_по_разделу_i,запасы,налог_на_добавленную_стоимость_по_приобретенным_ценностям,дебиторская_задолженность,финансовые_вложения_(за_исключением_денежных_эквивалентов),денежные_средства_и_денежные_эквиваленты,прочие_оборотные_активы,итого_по_разделу_ii,баланс,"уставный_капитал_(складочный_капитал,_уставный_фонд,_вклады_товарищей)","собственные_акции,_выкупленные_у_акционеров",переоценка_внеоборотных_активов,добавочный_капитал_(без_переоценки),резервный_капитал,нераспределенная_прибыль_(непокрытый_убыток),итого_по_разделу_iii,заемные_средства,отложенные_налоговые_обязательства,оценочные_обязательства,прочие_обязательства,итого_по_разделу_iv,кредиторская_задолженность,доходы_будущих_периодов,итого_по_разделу_v,выручка,себестоимость_продаж,валовая_прибыль_(убыток),коммерческие_расходы,управленческие_расходы,прибыль_(убыток)_от_продаж,доходы_от_участия_в_других_организациях,проценты_к_получению,проценты_к_уплате,прочие_доходы,прочие_расходы,прибыль_(убыток)_до_налогообложения,текущий_налог_на_прибыль,постоянные_налоговые_обязательства_(активы),изменение_отложенных_налоговых_обязательств,изменение_отложенных_налоговых_активов,прочее,чистая_прибыль_(убыток),"результат_от_переоценки_внеоборотных_активов,_не_включаемый_в_чистую_прибыль_(убыток)_периода","результат_от_прочих_операций,_не_включаемый_в_чистую_прибыль_(убыток)_периода",совокупный_финансовый_результат_периода
3525165706,2018,низкий,16.05.2006,Действующее,"0,00","0,00","0,00","0,00","689 000,00","0,00","0,00","0,00","893 540 000,00","894 229 000,00","7 590 000,00","0,00","35 303 000,00","0,00","0,00","0,00","42 893 000,00","937 122 000,00","11 000,00","0,00","0,00","0,00","0,00","-386 269 000,00","-386 258 000,00","0,00","0,00","0,00","738 188 000,00","120 887 000,00","464 305 000,00","0,00","1 202 493 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7 232 000,00","39 480 000,00","-32 248 000,00","0,00","0,00","0,00","0,00","0,00","-32 248 000,00","0,00","0,00","-32 248 000,00"
3525165706,2017,низкий,16.05.2006,Действующее,"0,00","0,00","0,00","0,00","689 000,00","0,00","0,00","0,00","893 540 000,00","894 229 000,00","7 590 000,00","0,00","28 071 000,00","0,00","0,00","0,00","35 661 000,00","929 890 000,00","11 000,00","0,00","0,00","0,00","0,00","-354 021 000,00","-354 010 000,00","0,00","0,00","0,00","738 188 000,00","120 887 000,00","424 825 000,00","0,00","1 163 013 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","294 245 000,00","-294 245 000,00","0,00","0,00","0,00","0,00","0,00","-294 245 000,00","0,00","0,00","-294 245 000,00"
3525165706,2016,низкий,16.05.2006,Действующее,"0,00","0,00","0,00","0,00","689 000,00","0,00","0,00","0,00","893 540 000,00","894 229 000,00","5 282 000,00","0,00","328 362 000,00","1 614 000,00","0,00","0,00","335 258 000,00","1 229 487 000,00","11 000,00","0,00","0,00","0,00","0,00","-59 776 000,00","-59 765 000,00","0,00","0,00","0,00","738 188 000,00","91 472 000,00","459 592 000,00","0,00","1 197 780 000,00","2 156 000,00","30 383 000,00","-28 227 000,00","0,00","7 931 000,00","-36 158 000,00","0,00","0,00","23 596 000,00","0,00","22 000,00","-59 776 000,00","0,00","0,00","0,00","0,00","0,00","-59 776 000,00","0,00","0,00","-59 776 000,00"
6670142587,2018,низкий,29.09.2006,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","390 000,00","0,00","9 000,00","0,00","399 000,00","399 000,00","0,00","0,00","0,00","0,00","0,00","0,00","99 000,00","0,00","0,00","0,00","0,00","0,00","300 000,00","0,00","300 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
6670142587,2017,низкий,29.09.2006,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","390 000,00","0,00","9 000,00","0,00","399 000,00","399 000,00","0,00","0,00","0,00","0,00","0,00","0,00","99 000,00","0,00","0,00","0,00","0,00","0,00","300 000,00","0,00","300 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
6670142587,2016,низкий,29.09.2006,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26 869 000,00","0,00","9 000,00","0,00","26 878 000,00","26 877 000,00","0,00","0,00","0,00","0,00","0,00","0,00","676 000,00","0,00","0,00","0,00","0,00","25 901 000,00","300 000,00","0,00","300 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
7720608028,2018,низкий,14.02.2008,Действующее,"0,00","0,00","0,00","0,00","5 523 000,00","0,00","0,00","0,00","0,00","5 523 000,00","25 790 000,00","288 000,00","16 952 000,00","0,00","147 000,00","4 207 000,00","47 384 000,00","52 907 000,00","10 000,00","0,00","0,00","0,00","0,00","20 023 000,00","20 033 000,00","0,00","0,00","0,00","0,00","8 374 000,00","24 500 000,00","0,00","24 500 000,00","55 573 000,00","37 428 000,00","18 145 000,00","15 112 000,00","0,00","3 033 000,00","0,00","0,00","0,00","145 000,00","1 464 000,00","1 714 000,00","367 000,00","0,00","0,00","0,00","0,00","1 347 000,00","0,00","0,00","1 347 000,00"
7720608028,2017,низкий,14.02.2008,Действующее,"0,00","0,00","0,00","0,00","7 150 000,00","0,00","0,00","0,00","0,00","7 150 000,00","26 300 000,00","291 000,00","21 807 000,00","0,00","16 000,00","3 286 000,00","51 700 000,00","58 850 000,00","10 000,00","0,00","0,00","0,00","0,00","17 599 000,00","17 609 000,00","0,00","0,00","0,00","0,00","14 197 000,00","27 044 000,00","0,00","27 044 000,00","37 155 000,00","25 577 000,00","11 578 000,00","9 517 000,00","0,00","2 061 000,00","0,00","0,00","0,00","190 000,00","285 000,00","1 966 000,00","375 000,00","0,00","0,00","0,00","0,00","1 591 000,00","0,00","0,00","1 591 000,00"
7720608028,2016,низкий,14.02.2008,Действующее,"0,00","0,00","0,00","0,00","1 685 000,00","0,00","0,00","0,00","3 000,00","1 688 000,00","16 329 000,00","288 000,00","37 819 000,00","0,00","2 849 000,00","4 335 000,00","61 621 000,00","63 309 000,00","10 000,00","0,00","0,00","0,00","0,00","16 033 000,00","16 043 000,00","12 783 000,00","0,00","0,00","0,00","0,00","34 484 000,00","0,00","47 266 000,00","13 478 000,00","9 165 000,00","4 313 000,00","2 978 000,00","16 000,00","1 319 000,00","0,00","0,00","0,00","119 000,00","752 000,00","686 000,00","95 000,00","0,00","0,00","0,00","0,00","591 000,00","0,00","0,00","591 000,00"
6662024195,2018,средний,31.03.1994,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7 842 000,00","7 842 000,00","47 000,00","0,00","10 000,00","0,00","6 452 000,00","0,00","6 509 000,00","14 351 000,00","200 000,00","0,00","0,00","0,00","0,00","244 000,00","444 000,00","0,00","0,00","0,00","13 904 000,00","0,00","3 000,00","0,00","13 907 000,00","28 000,00","0,00","28 000,00","0,00","0,00","28 000,00","0,00","0,00","0,00","9 437 000,00","9 400 000,00","65 000,00","13 000,00","0,00","0,00","0,00","0,00","52 000,00","0,00","0,00","52 000,00"
6662024195,2017,средний,31.03.1994,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7 449 000,00","7 449 000,00","20 000,00","0,00","294 000,00","0,00","4 582 000,00","0,00","4 896 000,00","12 345 000,00","200 000,00","0,00","0,00","0,00","0,00","192 000,00","392 000,00","0,00","0,00","0,00","11 950 000,00","0,00","3 000,00","0,00","11 953 000,00","128 000,00","0,00","128 000,00","0,00","0,00","128 000,00","0,00","0,00","0,00","9 297 000,00","9 276 000,00","149 000,00","31 000,00","0,00","0,00","0,00","0,00","118 000,00","0,00","0,00","118 000,00"
6662024195,2016,средний,31.03.1994,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5 354 000,00","5 354 000,00","15 000,00","0,00","11 000,00","0,00","4 986 000,00","0,00","5 012 000,00","10 366 000,00","200 000,00","0,00","0,00","0,00","0,00","75 000,00","275 000,00","0,00","0,00","0,00","9 880 000,00","0,00","211 000,00","0,00","10 091 000,00","18 000,00","0,00","18 000,00","0,00","0,00","18 000,00","0,00","0,00","0,00","5 493 000,00","5 350 000,00","161 000,00","32 000,00","0,00","0,00","0,00","0,00","129 000,00","0,00","0,00","129 000,00"
7534016144,2018,низкий,28.02.2002,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 042 000,00","0,00","2 042 000,00","3 028 000,00","0,00","184 000,00","0,00","1 000,00","133 000,00","3 346 000,00","5 388 000,00","10 000,00","0,00","0,00","0,00","0,00","-4 820 000,00","-4 810 000,00","0,00","0,00","1 529 000,00","0,00","0,00","8 669 000,00","0,00","10 198 000,00","0,00","177 000,00","-177 000,00","0,00","1 268 000,00","-1 445 000,00","0,00","0,00","0,00","5 175 000,00","2 407 000,00","1 323 000,00","0,00","364 000,00","0,00","99 000,00","-148 000,00","1 274 000,00","0,00","0,00","1 274 000,00"
7534016144,2017,низкий,28.02.2002,Действующее,"0,00","0,00","0,00","0,00","1 029 000,00","0,00","0,00","2 042 000,00","0,00","3 071 000,00","4 100 000,00","0,00","4 630 000,00","0,00","0,00","133 000,00","8 863 000,00","11 934 000,00","10 000,00","0,00","0,00","0,00","0,00","-5 998 000,00","-5 988 000,00","0,00","0,00","1 592 000,00","0,00","0,00","16 330 000,00","0,00","17 922 000,00","15 240 000,00","18 136 000,00","-2 896 000,00","0,00","6 412 000,00","-9 308 000,00","0,00","0,00","10 000,00","10 724 000,00","10 950 000,00","-9 544 000,00","0,00","165 000,00","1 000,00","1 744 000,00","-178 000,00","-7 977 000,00","0,00","0,00","-7 977 000,00"
