"ПАО ""АЭРОФЛОТ"""
Бухгалтерский баланс;2018;2017;2016;2015;2014
АКТИВI. ВНЕОБОРОТНЫЕ АКТИВЫ
Нематериальные активы;"
40 946 000,00 ";"
69 825 000,00 ";"
50 345 000,00 ";"
554 779 000,00 ";"
715 330 000,00 "
Результаты исследований и разработок;"
436 462 000,00 ";"
570 130 000,00 ";"
546 964 000,00 ";"
522 000 000,00 ";"
503 475 000,00 "
Нематериальные поисковые активы;"
0,00 ";"
0,00 ";"
10 687 759 000,00 ";"
11 502 405 000,00 ";"
11 417 161 000,00 "
Материальные поисковые активы;"
0,00 ";"
0,00 ";"
636 050 000,00 ";"
0,00 ";"
0,00 "
Основные средства;"
13 031 367 000,00 ";"
11 072 450 000,00 ";"
12 073 089 000,00 ";"
13 980 027 000,00 ";"
13 282 594 000,00 "
Доходные вложения в материальные ценности;"
800 729 000,00 ";"
566 919 000,00 ";"
876 178 000,00 ";"
1 083 468 000,00 ";"
270 185 000,00 "
Финансовые вложения;"
17 722 982 000,00 ";"
18 544 406 000,00 ";"
7 220 480 000,00 ";"
3 078 231 000,00 ";"
2 668 252 000,00 "
Отложенные налоговые активы;"
3 848 924 000,00 ";"
3 168 364 000,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прочие внеоборотные активы;"
3 795 427 000,00 ";"
5 289 909 000,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Итого по разделу I;"
66 217 883 000,00 ";"
49 889 946 000,00 ";"
76 794 383 000,00 ";"
76 530 919 000,00 ";"
60 583 095 000,00 "
II. ОБОРОТНЫЕ АКТИВЫ
Запасы;"
9 363 819 000,00 ";"
7 242 830 000,00 ";"
6 269 546 000,00 ";"
7 081 886 000,00 ";"
4 173 369 000,00 "
Налог на добавленную стоимость по приобретенным ценностям;"
436 698 000,00 ";"
319 349 000,00 ";"
405 332 000,00 ";"
483 024 000,00 ";"
585 841 000,00 "
Дебиторская задолженность;"
82 150 336 000,00 ";"
92 169 373 000,00 ";"
65 744 175 000,00 ";"
69 767 754 000,00 ";"
56 680 604 000,00 "
Финансовые вложения (за исключением денежных эквивалентов);"
2 500 000 000,00 ";"
0,00 ";"
926 304 000,00 ";"
3 416 577 000,00 ";"
805 000 000,00 "
Денежные средства и денежные эквиваленты;"
9 871 604 000,00 ";"
34 094 269 000,00 ";"
26 229 302 000,00 ";"
28 946 377 000,00 ";"
22 824 357 000,00 "
Прочие оборотные активы;"
1 111 559 000,00 ";"
790 457 000,00 ";"
916 620 000,00 ";"
318 268 000,00 ";"
228 013 000,00 "
Итого по разделу II;"
105 434 016 000,00 ";"
134 616 278 000,00 ";"
100 491 279 000,00 ";"
110 013 886 000,00 ";"
85 297 184 000,00 "
БАЛАНС;"
171 651 899 000,00 ";"
184 506 224 000,00 ";"
177 285 662 000,00 ";"
186 544 805 000,00 ";"
145 880 279 000,00 "
ПАССИВIII. КАПИТАЛ И РЕЗЕРВЫ
Уставный капитал (складочный капитал, уставный фонд, вклады товарищей);"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 "
Собственные акции, выкупленные у акционеров;"
-7 039 736 000,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Переоценка внеоборотных активов;"
58 974 000,00 ";"
61 951 000,00 ";"
72 628 000,00 ";"
19 069 000,00 ";"
518 371 000,00 "
Добавочный капитал (без переоценки);"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Резервный капитал;"
277 654 000,00 ";"
277 654 000,00 ";"
277 654 000,00 ";"
277 654 000,00 ";"
277 654 000,00 "
Нераспределенная прибыль (непокрытый убыток);"
65 848 670 000,00 ";"
77 271 364 000,00 ";"
78 502 839 000,00 ";"
47 936 722 000,00 ";"
61 376 387 000,00 "
Итого по разделу III;"
60 256 178 000,00 ";"
78 721 585 000,00 ";"
79 963 737 000,00 ";"
49 344 061 000,00 ";"
63 283 028 000,00 "
IV. ДОЛГОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА
Заемные средства;"
0,00 ";"
0,00 ";"
7 862 898 000,00 ";"
12 580 636 000,00 ";"
5 000 000 000,00 "
Отложенные налоговые обязательства;"
564 056 000,00 ";"
550 750 000,00 ";"
588 621 000,00 ";"
640 466 000,00 ";"
786 902 000,00 "
Оценочные обязательства;"
401 439 000,00 ";"
2 604 138 000,00 ";"
387 520 000,00 ";"
391 401 000,00 ";"
396 625 000,00 "
Прочие обязательства;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Итого по разделу IV;"
7 883 777 000,00 ";"
11 054 367 000,00 ";"
17 739 695 000,00 ";"
21 200 970 000,00 ";"
14 137 779 000,00 "
V. КРАТКОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА
Заемные средства;"
0,00 ";"
0,00 ";"
9 308 668 000,00 ";"
50 529 235 000,00 ";"
13 268 749 000,00 "
Кредиторская задолженность;"
93 992 946 000,00 ";"
82 553 305 000,00 ";"
68 138 395 000,00 ";"
63 445 547 000,00 ";"
53 565 168 000,00 "
Доходы будущих периодов;"
359 042 000,00 ";"
408 807 000,00 ";"
427 717 000,00 ";"
410 688 000,00 ";"
261 582 000,00 "
Оценочные обязательства;"
9 159 956 000,00 ";"
11 768 160 000,00 ";"
1 707 450 000,00 ";"
1 614 304 000,00 ";"
1 363 973 000,00 "
Прочие обязательства;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Итого по разделу V;"
103 511 944 000,00 ";"
94 730 272 000,00 ";"
79 582 230 000,00 ";"
115 999 774 000,00 ";"
68 459 472 000,00 "
БАЛАНС;"
171 651 899 000,00 ";"
184 506 224 000,00 ";"
177 285 662 000,00 ";"
186 544 805 000,00 ";"
145 880 279 000,00 "
Отчет о финансовых результатах
Выручка;"
504 696 789 000,00 ";"
446 649 442 000,00 ";"
427 900 527 000,00 ";"
366 307 485 000,00 ";"
240 307 725 000,00 "
Себестоимость продаж;"
499 683 382 000,00 ";"
400 268 600 000,00 ";"
371 562 923 000,00 ";"
316 312 246 000,00 ";"
194 444 448 000,00 "
Валовая прибыль (убыток);"
5 013 407 000,00 ";"
46 380 842 000,00 ";"
56 337 604 000,00 ";"
49 995 239 000,00 ";"
45 863 277 000,00 "
Коммерческие расходы;"
29 815 806 000,00 ";"
35 171 689 000,00 ";"
32 332 287 000,00 ";"
29 198 182 000,00 ";"
36 421 541 000,00 "
Управленческие расходы;"
13 810 326 000,00 ";"
12 742 294 000,00 ";"
11 135 614 000,00 ";"
8 839 644 000,00 ";"
8 087 529 000,00 "
Прибыль (убыток) от продаж;"
-38 612 725 000,00 ";"
-1 533 141 000,00 ";"
12 869 703 000,00 ";"
11 957 413 000,00 ";"
1 354 207 000,00 "
Доходы от участия в других организациях;"
2 213 828 000,00 ";"
3 586 256 000,00 ";"
41 025 000,00 ";"
58 135 000,00 ";"
220 126 000,00 "
Проценты к получению;"
2 885 714 000,00 ";"
4 236 094 000,00 ";"
4 667 107 000,00 ";"
3 613 922 000,00 ";"
693 105 000,00 "
Проценты к уплате;"
0,00 ";"
800 569 000,00 ";"
3 044 449 000,00 ";"
2 328 161 000,00 ";"
550 193 000,00 "
Прочие доходы;"
63 556 751 000,00 ";"
52 915 005 000,00 ";"
65 945 641 000,00 ";"
42 097 386 000,00 ";"
34 888 137 000,00 "
Прочие расходы;"
25 960 860 000,00 ";"
23 179 506 000,00 ";"
38 397 719 000,00 ";"
72 855 755 000,00 ";"
16 877 066 000,00 "
Прибыль (убыток) до налогообложения;"
4 082 708 000,00 ";"
35 224 139 000,00 ";"
42 081 308 000,00 ";"
-17 457 060 000,00 ";"
19 728 316 000,00 "
Текущий налог на прибыль;"
2 755 346 000,00 ";"
8 723 470 000,00 ";"
11 723 479 000,00 ";"
1 584 163 000,00 ";"
6 256 222 000,00 "
Постоянные налоговые обязательства (активы);"
-1 272 192 000,00 ";"
-421 722 000,00 ";"
3 463 260 000,00 ";"
4 466 832 000,00 ";"
2 792 544 000,00 "
Изменение отложенных налоговых обязательств;"
-13 306 000,00 ";"
37 871 000,00 ";"
-51 845 000,00 ";"
146 436 000,00 ";"
71 085 000,00 "
Изменение отложенных налоговых активов;"
680 560 000,00 ";"
1 219 688 000,00 ";"
-207 290 000,00 ";"
462 567 000,00 ";"
-410 900 000,00 "
Прочее;"
801 488 000,00 ";"
685 225 000,00 ";"
-414 416 000,00 ";"
495 621 000,00 ";"
-159 112 000,00 "
Чистая прибыль (убыток);"
2 796 104 000,00 ";"
28 443 453 000,00 ";"
30 616 800 000,00 ";"
-18 927 841 000,00 ";"
13 149 221 000,00 "
СПРАВОЧНО
Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Совокупный финансовый результат периода;"
2 796 104 000,00 ";"
28 443 453 000,00 ";"
30 616 800 000,00 ";"
-18 927 841 000,00 ";"
13 149 221 000,00 "
Отчет об изменениях капитала1. Движение капитала
Величина капитала на 31 декабря предыдущего года;"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 "
Увеличение капитала - всего;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Чистая прибыль;"
- ";"
- ";"
- ";"
- ";"
- "
Переоценка имущества;"
- ";"
- ";"
- ";"
- ";"
- "
Доходы, относящиеся непосредственно на увеличение капитала;"
- ";"
- ";"
- ";"
- ";"
- "
Дополнительный выпуск акций;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Увеличение номинальной стоимости акции;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Реорганизация юридического лица;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Уменьшение капитала - всего:;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Убыток;"
- ";"
- ";"
- ";"
- ";"
- "
